component,nid,catalog_symbol,module,library,provider,provider_sha256,runtime_symbol_addresses,runtime_load_base,runtime_direct_bridge_count,function_entry,function_body_addresses,instruction_count,function_body_sha256,decompile_sha256,registration_policy,confidence,source_component,source_module,source_library,normalization_reason
LibcInternalProvider,3BytPOQgVKc,snprintf_s,libSceLibcInternal,libSceLibcInternal,gta_v_libc,309cb9031209eb9b838216994d2c39613fcd65ec1eae493c4b784b9dacdd06bb,0x0000000805C44570,0x0000000805AEA000,4,0015a570,325,77,6e18cc9234133bf811f2677928d05f1a4a8c71758994ee5a1307b6857b88f7b7,9c4ab113070fb87594f9baee000467367ebb3815ed74e339075c5a8cffdb34a2,Gen5 PreferLle=true; guest provider authoritative; fallback ORBIS_GEN2_ERROR_NOT_IMPLEMENTED,high,LibcInternal,libSceLibcInternal,libSceLibcInternal,
LibcInternalProvider,Vla-Z+eXlxo,sceLibcMspaceFree,libSceLibcInternal,libSceLibcInternal,gta_v_libc,309cb9031209eb9b838216994d2c39613fcd65ec1eae493c4b784b9dacdd06bb,0x0000000805BF95A0,0x0000000805AEA000,4,0010f5a0,69,28,86269fe5bfb80801d4fde8b422b2d17ab05e8da0764fc4cd022a8a9fee0885a4,4ed6ae72d6699920a8394ebeeaa9a819d8e4506c066a26c1bcdbc41f966d3330,Gen5 PreferLle=true; guest provider authoritative; fallback ORBIS_GEN2_ERROR_NOT_IMPLEMENTED,high,LibcInternal,libSceLibcInternal,libSceLibcInternal,
LibcInternalProvider,gigoVHZvVPE,sceLibcMspaceRealloc,libSceLibcInternal,libSceLibcInternal,gta_v_libc,309cb9031209eb9b838216994d2c39613fcd65ec1eae493c4b784b9dacdd06bb,0x0000000805BF9670,0x0000000805AEA000,4,0010f670,111,36,63ca468d074beebad22585d095b4484aeed78d5135adea407c4d32f00dc1b011,4987f56965ea2d8857206b74fee24cc99047b38b917f63e25f80a6930cd8d4e6,Gen5 PreferLle=true; guest provider authoritative; fallback ORBIS_GEN2_ERROR_NOT_IMPLEMENTED,high,LibcInternal,libSceLibcInternal,libSceLibcInternal,
LibcInternalProvider,mfHdJTIvhuo,sceLibcMspaceMallocStats,libSceLibcInternal,libSceLibcInternal,gta_v_libc,309cb9031209eb9b838216994d2c39613fcd65ec1eae493c4b784b9dacdd06bb,0x0000000805BF9860,0x0000000805AEA000,4,0010f860,11,5,d81f74073b1860ab0dd30b547bc9e6bc46ecaf55f108f78d8ea8c18e98b36d9b,e2eb3aaa68e9b6f2e6a28b2d2d9462b16c2941da8c1c48d3e9cd5439f037b6e5,Gen5 PreferLle=true; guest provider authoritative; fallback ORBIS_GEN2_ERROR_NOT_IMPLEMENTED,high,LibcInternal,libSceLibcInternal,libSceLibcInternal,
LibcProvider,+qitMEbkSWk,vsprintf_s,libc,libc,gta_v_libc,309cb9031209eb9b838216994d2c39613fcd65ec1eae493c4b784b9dacdd06bb,0x0000000805C44DD0,0x0000000805AEA000,4,0015add0,237,65,fd7dbe44d75e4211ff1826c4ca4481dff3fc61811bbc183c57b2abc0ce60233e,5f0f8e0dbe9248223660570a81381c5a694a6bed76eb63e933a10f7156d777f2,Gen5 PreferLle=true; guest provider authoritative; fallback ORBIS_GEN2_ERROR_NOT_IMPLEMENTED,high,Libc,libc,libc,
LibcProvider,0hlfW1O4Aa4,localeconv,libc,libc,gta_v_libc,309cb9031209eb9b838216994d2c39613fcd65ec1eae493c4b784b9dacdd06bb,0x0000000805BECD30,0x0000000805AEA000,4,00102d30,8,2,928202e97510b947871cdc8a6dfc8d8510f1be6b6a4709a6e96857a994535e10,154357086eab9cf5969fbef965b50cf33ab7f81146433bdaeeae71f5eb247cdc,Gen5 PreferLle=true; guest provider authoritative; fallback ORBIS_GEN2_ERROR_NOT_IMPLEMENTED,high,Libc,libc,libc,
LibcProvider,1D0H2KNjshE,powf,libc,libc,gta_v_libc,309cb9031209eb9b838216994d2c39613fcd65ec1eae493c4b784b9dacdd06bb,0x0000000805C36600,0x0000000805AEA000,4,0014c600,1544,341,f0abde8bf239d59023cb5ebdfd13ed0ce43cb66938ca56d57e4acc65ed5ccc37,7898f777a8ffde477c60d44b2bcd4f10d7c477d15a10c27d35f697ae1dadaf53,Gen5 PreferLle=true; guest provider authoritative; fallback ORBIS_GEN2_ERROR_NOT_IMPLEMENTED,high,Libc,libc,libc,
LibcProvider,24m4Z4bUaoY,sscanf_s,libc,libc,gta_v_libc,309cb9031209eb9b838216994d2c39613fcd65ec1eae493c4b784b9dacdd06bb,0x0000000805C448B0,0x0000000805AEA000,4,0015a8b0,244,54,1ec2c71574dc787562d2e505913439764e58db21b5d81af2f5253aa0e1d95ca6,05612e9a20cf8bec5e032f9425c2c46e843c50125e973d66d3b64fe881a73fe8,Gen5 PreferLle=true; guest provider authoritative; fallback ORBIS_GEN2_ERROR_NOT_IMPLEMENTED,high,Libc,libc,libc,
LibcProvider,2vDqwBlpF-o,strtod,libc,libc,gta_v_libc,309cb9031209eb9b838216994d2c39613fcd65ec1eae493c4b784b9dacdd06bb,0x0000000805C457C0,0x0000000805AEA000,4,0015b7c0,6611,1626,20d408a7261739ac32bc0d54de91b7f36644d441af4336438e039d5a948b44ac,6d89a9f1665731c995fb246b44f79d2e845e449bb4e7cd02be3fb116d1a1a5a0,Gen5 PreferLle=true; guest provider authoritative; fallback ORBIS_GEN2_ERROR_NOT_IMPLEMENTED,high,Libc,libc,libc,
LibcProvider,5Lf51jvohTQ,_Mtx_destroy,libc,libc,gta_v_libc,309cb9031209eb9b838216994d2c39613fcd65ec1eae493c4b784b9dacdd06bb,0x0000000805BEFCA0,0x0000000805AEA000,4,00105ca0,11,5,ec49b7befe12c52756499b73b9b2b9e0c583e2f3583b2abc720f502db9a90512,c7f9c6b11a5edb29caf38ea77c0e44c66ee8d44475c605e91cc3eb4c46d1b36d,Gen5 PreferLle=true; guest provider authoritative; fallback ORBIS_GEN2_ERROR_NOT_IMPLEMENTED,high,Libc,libc,libc,
