component,nid,catalog_symbol,module,library,provider,provider_sha256,ghidra_status,symbol_name,symbol_address,function_entry,function_name,thunk,thunk_target,body_addresses,instruction_count,body_sha256,entry_bytes,result_file,result_sha256,log_file,log_sha256,prefer_lle_safe,decision,semantic_hle_required_for_registration,semantic_hle_contract_if_provider_absent,semantic_hle_priority,semantic_hle_evidence_state
Ajm,39WxhR-ePew,sceAjmBatchJobDecode,libSceAjm,libSceAjm,libSceAjm.native.sprx,4da65731b07fa2911b9468505b2f1fc0a56df7373356fdc1dfa886b00385d8d9,defined_body,39WxhR-ePew#C#A,00001a10,00001a10,39WxhR-ePew#C#A,false,,213,49,6de005132ff129a7e317646f1dae330940aa667f32b7a11f94d5e7642ecb9e94,4885ff0f84c6000000534c8b5f084c8b17b812009380498d5b4048895f08483b,01-Ajm-native.result.tsv,04f7c8c7e1b6e955ee8997d2c96da447c84cbf0f4c1c5c545483db13a8652c0c,audit-01-Ajm-native.log,6afa0414e8193344f38015690f5487ac7969d419e41f329b768c870ee91ee0f8,true,include_gen5_prefer_lle,false,required,high_stateful,definition-only; deeper provider/caller ABI and state contract not yet proven
Ajm,5tOfnaClcqM,sceAjmBatchStart,libSceAjm,libSceAjm,libSceAjm.native.sprx,4da65731b07fa2911b9468505b2f1fc0a56df7373356fdc1dfa886b00385d8d9,defined_body,5tOfnaClcqM#C#A,00000e10,00000e10,5tOfnaClcqM#C#A,false,,445,124,360dde386495a14eec1f6c54b63a656959b6365af7968a0ec4a30a38042cc6b7,554889e54157415641554154534883ec384189d2488b1555f401004d89c54989,01-Ajm-native.result.tsv,04f7c8c7e1b6e955ee8997d2c96da447c84cbf0f4c1c5c545483db13a8652c0c,audit-01-Ajm-native.log,6afa0414e8193344f38015690f5487ac7969d419e41f329b768c870ee91ee0f8,true,include_gen5_prefer_lle,false,required,high_stateful,definition-only; deeper provider/caller ABI and state contract not yet proven
AppContent,Gl6w5i0JokY,sceAppContentDownloadDataGetAvailableSpaceKb,libSceAppContentUtil,libSceAppContent,libSceAppContent.sprx,16ea1a4db751772ca5f0bacb440a95a20eaa2cb8b75f4d6b5999da178d8594fc,defined_body,Gl6w5i0JokY#D#A,00001740,00001740,Gl6w5i0JokY#D#A,false,,20,5,5b6a20dfc2b282e83a051c0ee7d44be7e28278f4b1c317e3502fd1ffc84e79ba,4889fa488d3dcea800004889f131f6e96c100000cccccccccccccccccccccccc,02-AppContent.result.tsv,acd94340a286c9c90e5ab7954e45ddf2a82a48da26c07d512394497fb988cbcb,audit-02-AppContent.log,d3f9f38822af3170e5749cf2aec09ffe1bb143b13835338cf0d076aa6a562b31,true,include_gen5_prefer_lle,false,required,medium_query,definition-only; deeper provider/caller ABI and state contract not yet proven
AudioOut,wVwPU50pS1c,sceAudioOutSetMixLevelPadSpk,libSceAudioOut,libSceAudioOut,libSceAudioOut.sprx,948dfdc30b9c974c5447d9078853beb1555a2e548de6093b05a114e99445ab33,defined_body,wVwPU50pS1c#G#A,00002080,00002080,wVwPU50pS1c#G#A,false,,430,102,48eae3fdd2b6415b67f9660004fdd2f5bd957ec7fbc10535da9bcbeb367a716e,554889e54157415641554154534883ec284c8b25e862060041be0f002680498b,03-AudioOut.result.tsv,f463fa3d3b1b7f58bc6909173ea7a7f9ace9664605d212923f7cfbf4a62e20a5,audit-03-AudioOut.log,a7979491ea25ec45e8034b54c0949b1caad47cd2692eebb90c25e6351a9444ce,true,include_gen5_prefer_lle,false,required,high_stateful,definition-only; deeper provider/caller ABI and state contract not yet proven
AudioOut2,+k91hoTuoA8,sceAudioOut2SpeakerArrayCreate,libSceAudioOut,libSceAudioOut2,libSceAudioOut.sprx,948dfdc30b9c974c5447d9078853beb1555a2e548de6093b05a114e99445ab33,defined_body,+k91hoTuoA8#H#A,0004ec60,0004ec60,+k91hoTuoA8#H#A,false,,136,46,df7b03694571543a21ca322465f61e89c7fb691e67742977c7ac4a62258a284f,554889e5488d05fdfc06000fb608e85d0300008d88ffff157f83f9077717488d,04-AudioOut2.result.tsv,a727291a6cf8e45cc82175cb1e93a7bd3a3063531f87558ced58d346dc27fb38,audit-04-AudioOut2.log,52f57806171e35d092be0d853dee2270980c4f419e563212590e77af3499d59e,true,include_gen5_prefer_lle,false,required,high_stateful,definition-only; deeper provider/caller ABI and state contract not yet proven
AudioOut2,28QqMnuuJ9Y,sceAudioOut2GetSpeakerArrayAmbisonicsCoefficients,libSceAudioOut,libSceAudioOut2,libSceAudioOut.sprx,948dfdc30b9c974c5447d9078853beb1555a2e548de6093b05a114e99445ab33,defined_body,28QqMnuuJ9Y#H#A,0004ee10,0004ee10,28QqMnuuJ9Y#H#A,false,,126,44,b1567733616ba3f0a95936daf89e8035223b42db373822ff8a461f9db2360611,554889e5e8270700008d88ffff157f83f9077717488d05856c010048630c8848,04-AudioOut2.result.tsv,a727291a6cf8e45cc82175cb1e93a7bd3a3063531f87558ced58d346dc27fb38,audit-04-AudioOut2.log,52f57806171e35d092be0d853dee2270980c4f419e563212590e77af3499d59e,true,include_gen5_prefer_lle,false,required,high_stateful,definition-only; deeper provider/caller ABI and state contract not yet proven
AudioOut2,G1YOKDJYX2Y,sceAudioOut2GetSpeakerArrayMemorySize,libSceAudioOut,libSceAudioOut2,libSceAudioOut.sprx,948dfdc30b9c974c5447d9078853beb1555a2e548de6093b05a114e99445ab33,defined_body,G1YOKDJYX2Y#H#A,0004ec40,0004ec40,G1YOKDJYX2Y#H#A,false,,25,10,63b141666bbb99e017de4c2fbdb10515a618e4b9c51008774eb093e08e601324,31c085f60f95c031c985d20f95c189c689ca31c9e9e7020000cccccccccccccc,04-AudioOut2.result.tsv,a727291a6cf8e45cc82175cb1e93a7bd3a3063531f87558ced58d346dc27fb38,audit-04-AudioOut2.log,52f57806171e35d092be0d853dee2270980c4f419e563212590e77af3499d59e,true,include_gen5_prefer_lle,false,required,high_stateful,definition-only; deeper provider/caller ABI and state contract not yet proven
AudioOut2,erCWQR5eKiQ,sceAudioOut2SpeakerArrayDestroy,libSceAudioOut,libSceAudioOut2,libSceAudioOut.sprx,948dfdc30b9c974c5447d9078853beb1555a2e548de6093b05a114e99445ab33,defined_body,erCWQR5eKiQ#H#A,0004ecf0,0004ecf0,erCWQR5eKiQ#H#A,false,,126,44,29f13d278d43bfc290f8a9d83575d744cf2ace811465ac06d21215ddb5451523,554889e5e8b70600008d88ffff157f83f9077717488d05f56c010048630c8848,04-AudioOut2.result.tsv,a727291a6cf8e45cc82175cb1e93a7bd3a3063531f87558ced58d346dc27fb38,audit-04-AudioOut2.log,52f57806171e35d092be0d853dee2270980c4f419e563212590e77af3499d59e,true,include_gen5_prefer_lle,false,required,high_stateful,definition-only; deeper provider/caller ABI and state contract not yet proven
Coredump,Dbbkj6YHWdo,sceCoredumpWriteUserData,libkernel,libSceCoredump,libkernel.sprx,0d91281f1d2cdcf4d8c2f4b920766b645ea086e679bd95074f30510178a706b0,defined_body,Dbbkj6YHWdo#D#A,00013660,00013660,Dbbkj6YHWdo#D#A,false,,150,43,b186fb1a983ad96cfc69c4da8babdc4c6865b7ad048d87996b323a17e047fbb9,554889e5534883ec58488d1d60db0500488b03488945f048c7c0000018814885,05-Coredump.result.tsv,3d3cbb7670c088b5c0e91a569a109258e033e2cd3d07895a6f6028f26b1e3b12,audit-05-Coredump.log,69beda84bc702d968e364af5330282aa5eef0381ba7a8dd67be7c76aa0946687,true,include_gen5_prefer_lle,false,required,high_stateful,definition-only; deeper provider/caller ABI and state contract not yet proven
Coredump,fFkhOgztiCA,sceCoredumpUnregisterCoredumpHandler,libkernel,libSceCoredump,libkernel.sprx,0d91281f1d2cdcf4d8c2f4b920766b645ea086e679bd95074f30510178a706b0,defined_body,fFkhOgztiCA#D#A,00013600,00013600,fFkhOgztiCA#D#A,false,,82,26,08120eb9b34c5fc84e828bea285dd2f8ea4e560ffe90ed555e1102282eb213f6,554889e5535048833dbadc0500007434bf0b00000031db31f631d2e8e0e9feff,05-Coredump.result.tsv,3d3cbb7670c088b5c0e91a569a109258e033e2cd3d07895a6f6028f26b1e3b12,audit-05-Coredump.log,69beda84bc702d968e364af5330282aa5eef0381ba7a8dd67be7c76aa0946687,true,include_gen5_prefer_lle,false,required,high_stateful,definition-only; deeper provider/caller ABI and state contract not yet proven
