wave,library,result_file,provider,provider_sha256,nid,catalog_name,requested_kind,status,match_count,symbol_name,symbol_address,symbol_type,symbol_source,function_entry,function_name,external,thunk,thunk_target,thunk_target_external,executable,body_min,body_max,body_addresses,instruction_count,body_sha256,entry_bytes,first_instruction,last_instruction
wave1,libSceAgcDriver,libSceAgcDriver-chunk-00.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,AhGvpITrf4M,sceAgcDriverAgrSubmitDcb,function,defined_body,1,AhGvpITrf4M#G#A,00002a30,Function,IMPORTED,00002a30,AhGvpITrf4M#G#A,false,false,,,true,00002a30,00002a80,81,17,f097349a09c7e6d6c1b1298487ea43f6adbe65d4f2d6e87bee7eed4c893bff17,488d05d17e010083b8c00100000074194889fe488d3d1e7e0100c780c4010000,"LEA RAX,[0x1a908]",RET
wave1,libSceAgcDriver,libSceAgcDriver-chunk-00.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,+T8Xo6LtFJI,sceAgcDriverAgrSubmitMultiDcbs,function,defined_body,1,+T8Xo6LtFJI#G#A,00004d90,Function,IMPORTED,00004d90,+T8Xo6LtFJI#G#A,false,false,,,true,00004d90,00004de5,86,19,9dac3ff70048baafc133597daf067debc3aff00da1afdf0f1ac66755557a2a05,488d05715b010083b8c001000000741e89d14889f24889fe488d3db95a0100c7,"LEA RAX,[0x1a908]",RET
wave1,libSceAgcDriver,libSceAgcDriver-chunk-00.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,5l3IfCFJxBs,sceAgcDriverFindResourcesPublic,function,defined_body,1,5l3IfCFJxBs#G#A,00007240,Function,IMPORTED,00007240,5l3IfCFJxBs#G#A,false,false,,,true,00007240,00007245,6,2,77cc740e58cbe670a62774638598d2b8b56a7a098b2cf25bcd7a0e8a8ecb12f8,b818906c8ac3ccccccccccccccccccccb818906c8ac3cccccccccccccccccccc,"MOV EAX,0x8a6c9018",RET
wave1,libSceAgcDriver,libSceAgcDriver-chunk-00.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,Zw7uUVPulbw,sceAgcDriverGetEqContextId,function,defined_body,1,Zw7uUVPulbw#G#A,00006d80,Function,IMPORTED,00006d80,Zw7uUVPulbw#G#A,false,false,,,true,00006d80,00006d8e,15,6,ab65bc5e0c9c4587a9177af728dfedff68fe3e10777cd1ed4d8ae39b5ae72704,554889e5e8374d000048c1e8105dc3cc85ff7401c3488d056c3b010031f631d2,PUSH RBP,RET
wave1,libSceAgcDriver,libSceAgcDriver-chunk-00.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,5CdQTZIQPxM,sceAgcDriverGetEqEventType,function,defined_body,1,5CdQTZIQPxM#G#A,00006d70,Function,IMPORTED,00006d70,5CdQTZIQPxM#G#A,false,false,,,true,00006d70,00006d7a,11,5,c6426f628c8bc96aa3aba6e15d2a9d70836bccca5b357ff204c46fb39ffd6574,554889e5e8474d00005dc3cccccccccc554889e5e8374d000048c1e8105dc3cc,PUSH RBP,RET
wave1,libSceAgcDriver,libSceAgcDriver-chunk-00.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,LepGrgk77sM,sceAgcDriverGetOwnerName,function,defined_body,1,LepGrgk77sM#G#A,00007310,Function,IMPORTED,00007310,LepGrgk77sM#G#A,false,false,,,true,00007310,00007315,6,2,77cc740e58cbe670a62774638598d2b8b56a7a098b2cf25bcd7a0e8a8ecb12f8,b818906c8ac3cccccccccccccccccccc31c0c3cccccccccccccccccccccccccc,"MOV EAX,0x8a6c9018",RET
wave1,libSceAgcDriver,libSceAgcDriver-chunk-00.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,NghWEUXp1qM,sceAgcDriverGetResourceBaseAddressAndSizeInBytes,function,defined_body,1,NghWEUXp1qM#G#A,000072d0,Function,IMPORTED,000072d0,NghWEUXp1qM#G#A,false,false,,,true,000072d0,000072d5,6,2,77cc740e58cbe670a62774638598d2b8b56a7a098b2cf25bcd7a0e8a8ecb12f8,b818906c8ac3ccccccccccccccccccccb818906c8ac3cccccccccccccccccccc,"MOV EAX,0x8a6c9018",RET
wave1,libSceAgcDriver,libSceAgcDriver-chunk-00.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,M9yBzRKkjPc,sceAgcDriverGetResourceName,function,defined_body,1,M9yBzRKkjPc#G#A,000072b0,Function,IMPORTED,000072b0,M9yBzRKkjPc#G#A,false,false,,,true,000072b0,000072b5,6,2,77cc740e58cbe670a62774638598d2b8b56a7a098b2cf25bcd7a0e8a8ecb12f8,b818906c8ac3ccccccccccccccccccccb818906c8ac3cccccccccccccccccccc,"MOV EAX,0x8a6c9018",RET
wave1,libSceAgcDriver,libSceAgcDriver-chunk-00.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,mXn+K9E-wOA,sceAgcDriverGetResourceShaderGuid,function,defined_body,1,mXn+K9E-wOA#G#A,00007300,Function,IMPORTED,00007300,mXn+K9E-wOA#G#A,false,false,,,true,00007300,00007305,6,2,77cc740e58cbe670a62774638598d2b8b56a7a098b2cf25bcd7a0e8a8ecb12f8,b818906c8ac3ccccccccccccccccccccb818906c8ac3cccccccccccccccccccc,"MOV EAX,0x8a6c9018",RET
wave1,libSceAgcDriver,libSceAgcDriver-chunk-01.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,rI9lNAXPMIw,sceAgcDriverGetResourceType,function,defined_body,1,rI9lNAXPMIw#G#A,000072c0,Function,IMPORTED,000072c0,rI9lNAXPMIw#G#A,false,false,,,true,000072c0,000072c5,6,2,77cc740e58cbe670a62774638598d2b8b56a7a098b2cf25bcd7a0e8a8ecb12f8,b818906c8ac3ccccccccccccccccccccb818906c8ac3cccccccccccccccccccc,"MOV EAX,0x8a6c9018",RET
