library,nid,catalog_name,provider,provider_sha256,ghidra_status,function_entry,function_name,body_sha256,instruction_count,include_for_prefer_lle,recommendation,reason,current_gen5_registration_count,current_prefer_lle,current_export_names,current_sources
libSceAgcDriver,AhGvpITrf4M,sceAgcDriverAgrSubmitDcb,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,00002a30,AhGvpITrf4M#G#A,f097349a09c7e6d6c1b1298487ea43f6adbe65d4f2d6e87bee7eed4c893bff17,17,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAgcDriver,+T8Xo6LtFJI,sceAgcDriverAgrSubmitMultiDcbs,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,00004d90,+T8Xo6LtFJI#G#A,9dac3ff70048baafc133597daf067debc3aff00da1afdf0f1ac66755557a2a05,19,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAgcDriver,5l3IfCFJxBs,sceAgcDriverFindResourcesPublic,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,00007240,5l3IfCFJxBs#G#A,77cc740e58cbe670a62774638598d2b8b56a7a098b2cf25bcd7a0e8a8ecb12f8,2,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAgcDriver,Zw7uUVPulbw,sceAgcDriverGetEqContextId,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,00006d80,Zw7uUVPulbw#G#A,ab65bc5e0c9c4587a9177af728dfedff68fe3e10777cd1ed4d8ae39b5ae72704,6,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAgcDriver,5CdQTZIQPxM,sceAgcDriverGetEqEventType,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,00006d70,5CdQTZIQPxM#G#A,c6426f628c8bc96aa3aba6e15d2a9d70836bccca5b357ff204c46fb39ffd6574,5,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAgcDriver,LepGrgk77sM,sceAgcDriverGetOwnerName,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,00007310,LepGrgk77sM#G#A,77cc740e58cbe670a62774638598d2b8b56a7a098b2cf25bcd7a0e8a8ecb12f8,2,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAgcDriver,NghWEUXp1qM,sceAgcDriverGetResourceBaseAddressAndSizeInBytes,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,000072d0,NghWEUXp1qM#G#A,77cc740e58cbe670a62774638598d2b8b56a7a098b2cf25bcd7a0e8a8ecb12f8,2,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAgcDriver,M9yBzRKkjPc,sceAgcDriverGetResourceName,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,000072b0,M9yBzRKkjPc#G#A,77cc740e58cbe670a62774638598d2b8b56a7a098b2cf25bcd7a0e8a8ecb12f8,2,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAgcDriver,mXn+K9E-wOA,sceAgcDriverGetResourceShaderGuid,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,00007300,mXn+K9E-wOA#G#A,77cc740e58cbe670a62774638598d2b8b56a7a098b2cf25bcd7a0e8a8ecb12f8,2,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAgcDriver,rI9lNAXPMIw,sceAgcDriverGetResourceType,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,000072c0,rI9lNAXPMIw#G#A,77cc740e58cbe670a62774638598d2b8b56a7a098b2cf25bcd7a0e8a8ecb12f8,2,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
