nid,catalog_name,imported_libraries,imported_modules,images,symbol_kinds,relocation_referenced,relocation_count,acelogic_registered,acelogic_registration_count,acelogic_gen5_compatible,acelogic_export_name,acelogic_export_library,acelogic_target,acelogic_handler_type,acelogic_handler_method,acelogic_library_matches_import,source_file,source_line,source_method,source_classification,source_body_sha256
+4DegjBqV1g,sceNpGetAccountAge,libSceNpManager,libSceNpManager,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
+6Xo+7GdUGM,_ZNK3sce2Np9CppWebApi30CommunicationRestrictionStatus2V338CommunicationRestrictionStatusResponse13getRestrictedEv,libSceNpCppWebApi,libSceNpCppWebApi,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
+BzXYkqYeLE,scePthreadSetspecific,libkernel,libkernel,sce_module/libc.prx,function,True,1,True,1,True,scePthreadSetspecific,libKernel,"Gen4, Gen5",SharpEmu.Libs.Kernel.KernelPthreadExtendedCompatExports,OrbisPthreadSetspecific,True,src/SharpEmu.Libs/Kernel/KernelPthreadExtendedCompatExports.cs,1680,OrbisPthreadSetspecific,nontrivial_source_handler,1d99fcc5e3c3e34137462a97414826b49415fe3a5c83a300655ce6fda2ffb204
+DSNphhYdd4,_ZN3sce2Np9CppWebApi6Common12IntrusivePtrINS1_14SessionManager2V115LocalizedStringEEC1ERS7_,libSceNpCppWebApi,libSceNpCppWebApi,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
+HWmt-AJocg,_ZN3sce2Np9CppWebApi11UserProfile2V110FriendsApi21ParameterToGetFriends9setfilterENS5_6FilterE,libSceNpCppWebApi,libSceNpCppWebApi,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
+KDWny9Y-6k,sceContentExportTerm,libSceContentExport,libSceContentExport,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
+P6FRGH4LfA,memmove,libc,libc,eboot.bin,function,True,1,True,1,True,memmove,libc,"Gen4, Gen5",SharpEmu.Libs.Kernel.KernelMemoryCompatExports,Memmove,True,src/SharpEmu.Libs/Kernel/KernelMemoryCompatExports.cs,1384,Memmove,nontrivial_source_handler,db5ec00bd0842db4b89c08167d9642e0b02a9ab1094222f415aaa0253e476397
+T8Xo6LtFJI,sceAgcDriverAgrSubmitMultiDcbs,libSceAgcDriver,libSceAgcDriver,eboot.bin;sce_module/libSceJobManager.prx,function,True,2,False,0,False,,,,,,False,,,,,
+TN0oRTBxJQ,sceAgcDriverIsTraceInProgress,libSceAgcDriver,libSceAgcDriver,eboot.bin;sce_module/libSceJobManager.prx,function,True,2,False,0,False,,,,,,False,,,,,
+W7fL6PWOhw,_ZN3sce2Np9CppWebApi14SessionManager2V149PostPlayerSessionsSessionIdInvitationsRequestBody14setInvitationsERKNS1_6Common6VectorINS5_12IntrusivePtrINS3_30RequestPlayerSessionInvitationEEEEE,libSceNpCppWebApi,libSceNpCppWebApi,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
+cHQSR34crs,_ZN3sce2Np9CppWebApi6Common11TransactionINS2_12IntrusivePtrINS1_14SessionManager2V129GetPlayerSessionsResponseBodyEEENS4_INS2_18ResponseHeaderBaseEEEEC1Ev,libSceNpCppWebApi,libSceNpCppWebApi,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
+htBBgi85YA,_ZNK3sce2Np9CppWebApi6Common12IntrusivePtrINS1_14SessionManager2V120RequestPlayerSessionEEptEv,libSceNpCppWebApi,libSceNpCppWebApi,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
+k91hoTuoA8,sceAudioOut2SpeakerArrayCreate,libSceAudioOut2,libSceAudioOut,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
+kSrjIVxKFE,sceAgcDcbPushMarker,libSceAgc,libSceAgc,eboot.bin,function,True,1,True,1,True,sceAgcDcbPushMarker,libSceAgc,Gen5,SharpEmu.Libs.Agc.AgcExports,DcbPushMarker,True,src/SharpEmu.Libs/Agc/AgcExports.cs,2821,DcbPushMarker,nontrivial_source_handler,4abd7f7834074ed1c146a2c4f8f0611aa7667228eef01aaaeeb2c5aa220cbef0
+ljJoKsr054,_ZNK3sce2Np9CppWebApi6Common6VectorINS2_12IntrusivePtrINS1_14SessionManager2V120PlayerSessionForReadEEEE4sizeEv,libSceNpCppWebApi,libSceNpCppWebApi,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
+o9816YQhqQ,sceNpWebApi2Initialize,libSceNpWebApi2,libSceNpWebApi2,eboot.bin,function,True,1,True,1,True,sceNpWebApi2Initialize,libSceNpWebApi2,"Gen4, Gen5",SharpEmu.Libs.Np.NpWebApi2Exports,NpWebApi2Initialize,True,src/SharpEmu.Libs/Np/NpWebApi2Exports.cs,20,NpWebApi2Initialize,nontrivial_source_handler,6ce0c726412ca5f9298560a074a43270082cef20c1b9605c3095aafd7a00c5c0
+oqyRiwxW18,_ZN3sce2Np9CppWebApi14SessionManager2V120RequestPlayerSession16setMaxSpectatorsERKi,libSceNpCppWebApi,libSceNpCppWebApi,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
+qitMEbkSWk,vsprintf_s,libc,libc,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
+r3rMFwItV4,sceKernelPread,libkernel,libkernel,eboot.bin,function,True,1,True,1,True,sceKernelPread,libKernel,"Gen4, Gen5",SharpEmu.Libs.Kernel.KernelMemoryCompatExports,KernelPread,True,src/SharpEmu.Libs/Kernel/KernelFileExtendedExports.cs,57,KernelPread,nontrivial_source_handler,ff1b1a29aa5b649204650fc9808a2390f4e17c8f2ed34e14a6a0c6abdf895d46
+rWjmNf5G5E,_ZN3sce2Np9CppWebApi6Common11TransactionINS2_12IntrusivePtrINS1_11UserProfile2V124GetBlockingUsersResponseEEENS4_INS2_18ResponseHeaderBaseEEEED1Ev,libSceNpCppWebApi,libSceNpCppWebApi,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
+u6dKSLWM2o,sceAgcDcbStallCommandBufferParserGetSize,libSceAgc,libSceAgc,eboot.bin,function,True,1,True,1,True,sceAgcDcbStallCommandBufferParserGetSize,libSceAgc,Gen5,SharpEmu.Libs.Agc.AgcExports,DcbStallCommandBufferParserGetSize,True,src/SharpEmu.Libs/Agc/AgcExports.cs,2650,DcbStallCommandBufferParserGetSize,nontrivial_source_handler,2a7e7e0e500a508f83d3c75830ef10b196439a97d2f9b0242ecef912a2d2c000
+yqjab2fUJA,sceNpRegisterPremiumEventCallback,libSceNpManager,libSceNpManager,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
-0Vv7HKZaBM,_ZN3sce2Np9CppWebApi14SessionManager2V139RequestPlayerSessionMemberPlayerFactory6createEPNS1_6Common10LibContextERKNS5_6VectorINS5_12IntrusivePtrINS3_32RequestCreatePlayerSessionPlayerEEEEEPNS9_INS3_32RequestPlayerSessionMemberPlayerEEE,libSceNpCppWebApi,libSceNpCppWebApi,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
-2IRUCO--PM,sceKernelReadTsc,libkernel,libkernel,eboot.bin;sce_module/libSceJobManager.prx,function,True,2,True,1,True,sceKernelReadTsc,libKernel,"Gen4, Gen5",SharpEmu.Libs.Kernel.KernelRuntimeCompatExports,KernelReadTsc,True,src/SharpEmu.Libs/Kernel/KernelRuntimeCompatExports.cs,951,KernelReadTsc,nontrivial_source_handler,26a6aa820d46485ab862cc4c4a346f7fd4fda0e13d1b994d43746290e13dc4ad
-4GCfYdNF1s,sceImeUpdate,libSceIme,libSceIme,eboot.bin,function,True,1,True,1,True,sceImeUpdate,libSceIme,"Gen4, Gen5",SharpEmu.Libs.Ime.ImeExports,ImeUpdate,True,src/SharpEmu.Libs/Ime/ImeExports.cs,19,ImeUpdate,nontrivial_source_handler,a1b106b7d44c92594a6688e1250170a8248fd74067c07b9302de7a59927ae693
-4qn5SHAuoQ,_ZN3sce2Np9CppWebApi6Common6VectorINS2_12IntrusivePtrINS1_14SessionManager2V136UsersPlayerSessionsInvitationForReadEEEE3endEv,libSceNpCppWebApi,libSceNpCppWebApi,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
-EL6-8BIXf4,_ZN3sce2Np9CppWebApi7Matches2V18MatchApi21ParameterToLeaveMatchC1Ev,libSceNpCppWebApi,libSceNpCppWebApi,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
-HOOCn0JY48,sceAgcDcbSetShRegistersIndirect,libSceAgc,libSceAgc,eboot.bin,function,True,1,True,1,True,sceAgcDcbSetShRegistersIndirect,libSceAgc,Gen5,SharpEmu.Libs.Agc.AgcExports,DcbSetShRegistersIndirect,True,src/SharpEmu.Libs/Agc/AgcExports.cs,2073,DcbSetShRegistersIndirect,nontrivial_source_handler,5aeedbc4f60d6107979623fdcf824a03d62b60ec4aa4c0497d61bffe8db0d17c
-HdxnFZtWew,_ZN3sce2Np9CppWebApi14SessionManager2V16Friend17getPlayerSessionsEv,libSceNpCppWebApi,libSceNpCppWebApi,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
-IW9PK24IDc,_ZN3sce2Np9CppWebApi14SessionManager2V117PlayerSessionsApi35ParameterToGetFriendsPlayerSessionsD1Ev,libSceNpCppWebApi,libSceNpCppWebApi,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
-KRzWekV120,,libSceAgc,libSceAgc,eboot.bin,function,True,1,True,1,True,sceAgcDriverUnknown_KRzWekV120,libSceAgc,Gen5,SharpEmu.Libs.Agc.AgcExports,DriverUnknownKRzWekV120,True,src/SharpEmu.Libs/Agc/AgcExports.cs,3670,DriverUnknownKRzWekV120,nontrivial_source_handler,90dd15d2fd019f8c59e86b4007eb0d12621dab60aa6fa9e04cc51019d2d7137d
-LKfBC57JRM,_ZNK3sce2Np9CppWebApi6Common6VectorINS2_12IntrusivePtrINS1_14SessionManager2V113PlayerSessionEEEE4sizeEv,libSceNpCppWebApi,libSceNpCppWebApi,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
-NxEk7XLkDY,_ZN3sce4Json5Value11referObjectEv,libSceJson2,libSceJson,sce_module/libSceNpCppWebApi.prx,function,True,1,False,0,False,,,,,,False,,,,,
-P6FNMzk2Kc,cosf,libc,libc,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
-PXuTfPzcT4,_ZN3sce2Np9CppWebApi7Matches2V113RemovedPlayer9setReasonERKNS3_11LeaveReasonE,libSceNpCppWebApi,libSceNpCppWebApi,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
-Rjp3-YViXc,sceNpUnregisterPremiumEventCallback,libSceNpManager,libSceNpManager,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
-RnpfpxIhec,sceAgcAcbDmaData,libSceAgc,libSceAgc,eboot.bin;sce_module/libSceJobManager.prx,function,True,2,True,1,True,sceAgcAcbDmaData,libSceAgc,Gen5,SharpEmu.Libs.Agc.AgcExports,AcbDmaData,True,src/SharpEmu.Libs/Agc/AgcExports.cs,2732,AcbDmaData,nontrivial_source_handler,b76f23610946fff8a54b685fe24e6d65d020fe64dbfdc9309b5c4ba5650e626d
-Wreprtu0Qs,scePthreadAttrSetdetachstate,libkernel,libkernel,eboot.bin,function,True,1,True,1,True,scePthreadAttrSetdetachstate,libKernel,"Gen4, Gen5",SharpEmu.Libs.Kernel.KernelPthreadExtendedCompatExports,PthreadAttrSetdetachstate,True,src/SharpEmu.Libs/Kernel/KernelPthreadExtendedCompatExports.cs,1117,PthreadAttrSetdetachstate,nontrivial_source_handler,2be8a034aaa31206b795c1372af3655da61939e7dc6db5cf4d19157f8c6b79ff
-YTW+qXc3CQ,sceKernelInternalMemoryGetModuleSegmentInfo,libkernel,libkernel,sce_module/libc.prx,function,True,1,False,0,False,,,,,,False,,,,,
-YbpaF0XS-I,sceContentSearchCloseMetadata,libSceContentSearch,libSceContentSearch,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
-hJRce8wn1U,_ZN3sce4Json12MemAllocatorC2Ev,libSceJson2,libSceJson,eboot.bin,function,True,1,True,1,True,_ZN3sce4Json12MemAllocatorC2Ev,libSceJson,"Gen4, Gen5",SharpEmu.Libs.Json.JsonExports,MemAllocatorConstructor,False,src/SharpEmu.Libs/Json/JsonExports.cs,70,MemAllocatorConstructor,nontrivial_source_handler,1c47fa524242ce8a8558f33cf1c63f67e6b1e5300fe7b224380bd3c2958cd4ac
-haXZfTh0pg,_ZN3sce2Np9CppWebApi7Matches2V18MatchApi21ParameterToLeaveMatchD1Ev,libSceNpCppWebApi,libSceNpCppWebApi,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
-hn1tcVHq5Q,sceLibcMspaceCreate,libSceLibcInternal,libSceLibcInternal,sce_module/libSceNpCppWebApi.prx,function,True,1,True,1,True,sceLibcMspaceCreate,libSceLibcInternal,Gen5,SharpEmu.Libs.Kernel.KernelMemoryCompatExports,LibcMspaceCreate,True,src/SharpEmu.Libs/Kernel/KernelMemoryCompatExports.cs,1476,LibcMspaceCreate,nontrivial_source_handler,4edf1b629f21117a281694bc29073732d0cde4dec172af0ab88bbafefaa76790
-kU6bB4M-+k,strspn,libc,libc,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
-o5uEDpN+oY,sceKernelConvertUtcToLocaltime,libkernel,libkernel,sce_module/libc.prx,function,True,1,True,1,True,sceKernelConvertUtcToLocaltime,libKernel,"Gen4, Gen5",SharpEmu.Libs.Kernel.KernelRuntimeCompatExports,KernelConvertUtcToLocaltime,True,src/SharpEmu.Libs/Kernel/KernelRuntimeCompatExports.cs,2645,KernelConvertUtcToLocaltime,nontrivial_source_handler,00f060ce16e7e96722072da9c22c1f3a88161030d6eee9d717b7121b3dde3fb7
-qLsfDAywIY,sceAjmBatchWait,libSceAjm,libSceAjm,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
-sD02mFDBh4,sceUserServiceGetGamePresets,libSceUserService,libSceUserService,eboot.bin,function,True,1,True,1,True,sceUserServiceGetGamePresets,libSceUserService,Gen5,SharpEmu.Libs.UserService.UserServiceExports,UserServiceGetGamePresets,True,src/SharpEmu.Libs/UserService/UserServiceExports.cs,188,UserServiceGetGamePresets,nontrivial_source_handler,30b6fcdaa5bdce90ea51fba6e9961600a46508fbb41c922e6fae8bbc369ab705
-t8eK4WxVIo,_ZN3sce2Np9CppWebApi6Common8IteratorINS2_12IntrusivePtrINS1_11UserProfile2V113BasicPresenceEEEEppEv,libSceNpCppWebApi,libSceNpCppWebApi,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
-vnlTPPXPrw,sceAgcDcbAcquireMemGetSize,libSceAgc,libSceAgc,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
03RZmELWWzw,sceAgcCbSetUcRegistersDirect,libSceAgc,libSceAgc,eboot.bin;sce_module/libSceJobManager.prx,function,True,2,False,0,False,,,,,,False,,,,,
03VdHjMkVLc,_ZNK3sce2Np9CppWebApi14SessionManager2V125FriendJoinedPlayerSession25playerJoinableStatusIsSetEv,libSceNpCppWebApi,libSceNpCppWebApi,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
05E7yxe+58U,_ZN3sce2Np9CppWebApi6Common12IntrusivePtrINS1_7Matches2V118RequestMatchPlayerEED1Ev,libSceNpCppWebApi,libSceNpCppWebApi,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
0ALNeQjaTJ0,_ZNK3sce2Np9CppWebApi6Common12IntrusivePtrINS1_14SessionManager2V125FriendJoinedPlayerSessionEEptEv,libSceNpCppWebApi,libSceNpCppWebApi,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
0BMj1hgG+kE,sceAmprMeasureCommandSizeWaitOnAddress_04_00,libSceAmpr,libSceAmpr,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
0BortfYmQRk,_ZN3sce2Np9CppWebApi14SessionManager2V117PlayerSessionsApi28sendPlayerSessionInvitationsEiRKNS4_39ParameterToSendPlayerSessionInvitationsERNS1_6Common11TransactionINS8_12IntrusivePtrINS3_50PostPlayerSessionsSessionIdInvitationsResponseBodyEEENSA_INS8_18ResponseHeaderBaseEEEEE,libSceNpCppWebApi,libSceNpCppWebApi,eboot.bin,function,True,1,False,0,False,,,,,,False,,,,,
