library,nid,catalog_symbol,qualified_symbol,entry,symbol_type,symbol_primary,function_name,function_entry,external,thunk,body_bytes,decompile_completed,target_symbol_count,headless_exit,provider_sha256,ghidra_project,evidence_log,evidence_log_sha256
libSceAgcDriver,AhGvpITrf4M,sceAgcDriverAgrSubmitDcb,AhGvpITrf4M#G#A,0x2a30,Function,true,AhGvpITrf4M#G#A,0x2a30,false,false,81,true,1,0,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,agc_contracts-driver_1,remote-results/contracts-driver/job-0001/headless.log,3b6b88e1208eba02fc8847be301647d2f28f567ca5f45ee8808940046e388f8e
libSceAgcDriver,+T8Xo6LtFJI,sceAgcDriverAgrSubmitMultiDcbs,+T8Xo6LtFJI#G#A,0x4d90,Function,true,+T8Xo6LtFJI#G#A,0x4d90,false,false,86,true,1,0,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,agc_contracts-driver_2,remote-results/contracts-driver/job-0002/headless.log,e12d1aa9baadeb175d4b62e84828784ca66bb495d105ea5529295a7f923ac8d0
libSceAgcDriver,5l3IfCFJxBs,sceAgcDriverFindResourcesPublic,5l3IfCFJxBs#G#A,0x7240,Function,true,5l3IfCFJxBs#G#A,0x7240,false,false,6,true,1,0,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,agc_contracts-driver_3,remote-results/contracts-driver/job-0003/headless.log,a99903a3fbb686a6101652e7579bf64a42eb30ecf410aa2060fbe979616e74bd
libSceAgcDriver,Zw7uUVPulbw,sceAgcDriverGetEqContextId,Zw7uUVPulbw#G#A,0x6d80,Function,true,Zw7uUVPulbw#G#A,0x6d80,false,false,15,true,1,0,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,agc_contracts-driver_4,remote-results/contracts-driver/job-0004/headless.log,dd402d329501c3ceaf143d3f2d1de0914e9e2b97c06026e4ea96b3177d05e868
libSceAgcDriver,5CdQTZIQPxM,sceAgcDriverGetEqEventType,5CdQTZIQPxM#G#A,0x6d70,Function,true,5CdQTZIQPxM#G#A,0x6d70,false,false,11,true,1,0,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,agc_contracts-driver_5,remote-results/contracts-driver/job-0005/headless.log,4bf539d599b6cb8fb2db2bdca67c7906302e0c887ac709b14d34002a40079c68
libSceAgcDriver,LepGrgk77sM,sceAgcDriverGetOwnerName,LepGrgk77sM#G#A,0x7310,Function,true,LepGrgk77sM#G#A,0x7310,false,false,6,true,1,0,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,agc_contracts-driver_6,remote-results/contracts-driver/job-0006/headless.log,9d80e24679abddca19dac843086c7d1665932b96657de56934c704a557c344b4
libSceAgcDriver,NghWEUXp1qM,sceAgcDriverGetResourceBaseAddressAndSizeInBytes,NghWEUXp1qM#G#A,0x72d0,Function,true,NghWEUXp1qM#G#A,0x72d0,false,false,6,true,1,0,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,agc_contracts-driver_7,remote-results/contracts-driver/job-0007/headless.log,f1cdc08207853d9ee0d742117bbd276855e835182a0a3519adb5017a64b847b0
libSceAgcDriver,M9yBzRKkjPc,sceAgcDriverGetResourceName,M9yBzRKkjPc#G#A,0x72b0,Function,true,M9yBzRKkjPc#G#A,0x72b0,false,false,6,true,1,0,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,agc_contracts-driver_8,remote-results/contracts-driver/job-0008/headless.log,e843bf674b1069fbd4ac9ef6a6a33f229a6015f48167696be1916c4d391be5e9
libSceAgcDriver,mXn+K9E-wOA,sceAgcDriverGetResourceShaderGuid,mXn+K9E-wOA#G#A,0x7300,Function,true,mXn+K9E-wOA#G#A,0x7300,false,false,6,true,1,0,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,agc_contracts-driver_9,remote-results/contracts-driver/job-0009/headless.log,3ec20f0b8af3588ec9429511cfa6aea406817153968741d8681d05c79774dd95
libSceAgcDriver,rI9lNAXPMIw,sceAgcDriverGetResourceType,rI9lNAXPMIw#G#A,0x72c0,Function,true,rI9lNAXPMIw#G#A,0x72c0,false,false,6,true,1,0,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,agc_contracts-driver_10,remote-results/contracts-driver/job-0010/headless.log,50bdc2f9f44c1a31b574b6cc1117c06279626415146fdc70f13da844ed76f011
libSceAgcDriver,ls4jfY576lw,sceAgcDriverGetResourceUserData,ls4jfY576lw#G#A,0x72e0,Function,true,ls4jfY576lw#G#A,0x72e0,false,false,6,true,1,0,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,agc_contracts-driver_11,remote-results/contracts-driver/job-0011/headless.log,17ed92ad3c04522a84d5bd0c8d88dd6065e8d01ca061b54a488c61338daca522
